127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000622
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001455
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000972
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000557
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000576
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/default/index, HTTP/1.1, 200, 0.924485
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001275
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000619
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001445
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.003737
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/js/jquery.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/js/web2py.js, HTTP/1.1, 200, 0.002106
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001182
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/js/calendar.js, HTTP/1.1, 200, 0.002047
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000483
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/css/calendar.css, HTTP/1.1, 200, 0.005584
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/js/share.js, HTTP/1.1, 200, 0.000397
127.0.0.1, 2015-05-07 20:41:56, GET, /ga_server/static/images/favicon.ico, HTTP/1.1, 200, 0.002367
127.0.0.1, 2015-05-07 20:41:57, GET, /ga_server/static/images/background.jpg, HTTP/1.1, 200, 0.000784
127.0.0.1, 2015-05-07 20:41:57, GET, /ga_server/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000776
127.0.0.1, 2015-05-07 20:41:57, GET, /ga_server/static/images/favicon.ico, HTTP/1.1, 200, 0.000769
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/default/peek/ga_server/views/generic.json, HTTP/1.1, 200, 0.047033
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.000367
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.000713
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000555
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000626
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000657
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000573
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000575
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000587
127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000556
